Date,Price,Open,High,Low,Vol.,Change %
7/9/2017,32.3,31.3,32.8,31.3,139.82K,3.19%
7/16/2017,31.6,32.0,32.3,31.6,33.60K,-2.17%
7/23/2017,32.4,31.6,32.4,31.5,16.59K,2.53%
7/30/2017,31.3,32.0,32.4,31.2,13.43K,-3.40%
8/6/2017,31.8,31.2,32.0,31.0,25.46K,1.60%
8/13/2017,30.9,31.8,31.8,30.0,35.53K,-2.83%
8/20/2017,30.3,30.7,30.9,30.1,10.68K,-1.94%
8/27/2017,30.0,30.0,30.3,29.5,14.48K,-0.99%
9/3/2017,28.5,30.0,30.0,28.2,53.14K,-5.00%
9/10/2017,28.5,29.0,29.5,28.4,61.84K,0.00%
9/17/2017,28.5,29.8,30.4,28.0,74.05K,0.00%
9/24/2017,29.0,28.5,29.0,28.3,42.17K,1.75%
10/1/2017,29.6,28.9,30.0,28.7,44.09K,2.07%
10/8/2017,31.5,29.0,31.9,29.0,102.05K,6.42%
10/15/2017,30.5,31.5,31.9,30.0,12.56K,-3.17%
10/22/2017,30.0,30.5,31.3,30.0,8.20K,-1.64%
10/29/2017,30.6,30.1,31.0,29.7,7.16K,2.00%
11/5/2017,30.5,30.6,31.2,29.4,15.66K,-0.33%
11/12/2017,30.0,29.8,30.4,29.0,23.94K,-1.64%
11/19/2017,30.0,30.0,31.5,28.0,30.19K,0.00%
11/26/2017,29.5,30.0,30.0,28.7,5.36K,-1.67%
12/3/2017,29.0,28.9,29.0,28.5,3.34K,-1.69%
12/10/2017,28.1,29.0,29.0,27.9,32.12K,-3.10%
12/17/2017,27.2,28.5,28.5,27.0,22.12K,-3.20%
12/24/2017,28.4,27.8,28.9,27.5,11.38K,4.41%
12/31/2017,29.5,28.9,30.0,28.0,9.05K,3.87%
1/7/2018,28.7,30.0,30.0,27.5,48.15K,-2.71%
1/14/2018,28.3,28.7,28.7,27.5,11.43K,-1.39%
1/21/2018,28.3,28.0,28.3,27.6,6.32K,0.00%
1/28/2018,27.9,28.0,29.5,27.5,32.97K,-1.41%
2/4/2018,29.2,27.8,29.3,27.8,16.22K,4.66%
2/11/2018,28.8,29.1,29.5,28.0,24.95K,-1.37%
2/18/2018,28.0,28.8,28.8,27.5,7.35K,-2.78%
2/25/2018,28.0,28.0,28.6,26.9,25.01K,0.00%
3/4/2018,28.0,27.6,28.5,27.4,18.29K,0.00%
3/11/2018,27.8,28.2,28.2,27.5,6.95K,-0.71%
3/18/2018,27.0,27.6,28.0,26.6,16.73K,-2.88%
3/25/2018,27.0,26.9,27.0,26.5,8.53K,0.00%
4/1/2018,27.0,27.0,28.9,26.4,38.82K,0.00%
4/8/2018,28.8,27.0,30.0,26.5,35.68K,6.67%
4/15/2018,28.0,28.9,29.0,26.7,14.76K,-2.78%
4/22/2018,28.0,28.0,29.9,27.5,18.34K,0.00%
4/29/2018,27.8,28.0,28.0,27.1,10.27K,-0.71%
5/6/2018,26.6,27.2,27.8,26.5,24.54K,-4.32%
5/13/2018,26.0,27.0,27.0,25.6,28.81K,-2.26%
5/20/2018,26.0,26.5,27.1,25.5,16.77K,0.00%
5/27/2018,25.5,26.1,26.7,24.5,19.37K,-1.92%
6/3/2018,25.2,25.4,27.0,25.1,21.10K,-1.18%
6/10/2018,24.6,25.1,25.2,24.0,27.97K,-2.38%
6/17/2018,24.4,24.1,25.8,23.8,28.59K,-0.81%
6/24/2018,24.8,25.6,26.0,23.7,35.19K,1.64%
7/1/2018,24.9,24.0,26.0,24.0,8.72K,0.40%
7/8/2018,24.6,24.9,25.9,23.9,10.22K,-1.20%
7/15/2018,24.9,24.5,25.3,23.8,8.83K,1.22%
7/22/2018,23.8,24.2,25.0,23.8,6.23K,-4.42%
7/29/2018,24.4,23.8,24.8,23.5,8.71K,2.52%
8/5/2018,23.5,24.0,24.7,23.5,10.33K,-3.69%
8/12/2018,22.8,23.7,24.2,22.5,15.07K,-2.98%
8/19/2018,22.9,22.9,23.0,22.1,7.11K,0.44%
